GSON Deserialize,GSON Serialize,Jackson Deserialize,Jackson Serialize,JSON-B Deserialize,JSON-B Serialize,Kotlin Deserialize,Kotlin Serialize
1789692.771,1569975.083,1885525.497,4814305.007,898671.598,2609761.208,2833096.263,5147667.013
41047.108,22829.498,33893.2,51680.111,11754.788,19952.048,13530.755,40167.743
