GSON Deserialize,GSON Serialize,Jackson Deserialize,Jackson Serialize,JSON-B Deserialize,JSON-B Serialize,Kotlin Deserialize,Kotlin Serialize
5250.321,876.648,2631.606,2534.650,7996.651,2967.584,2267.067,2135.405
138.724,13.742,41.800,43.219,130.327,44.813,35.706,35.692
