GSON Deserialize,Jackson Deserialize,JSON-B Deserialize,Kotlin Deserialize,GSON Serialize,Jackson Serialize,JSON-B Serialize,Kotlin Serialize
1733972.232,1740116.480,1582720.997,2358710.982,1512642.124,4487248.613,2185067.778,4086960.197
31463.084,25685.678,28594.178,35092.818,29846.000,120607.795,45238.716,65380.679
